date,code,status,score,buy_price,sell_price,hold_ret,bench_hold_ret,excess_ret
2026-06-01,000025,趋势观察池,35,15.6,15.24,-0.023076923076922995,0.012486747190899816,-0.03556367026782281
2026-06-01,000026,跌破MA5观察,7,22.68,21.44,-0.05467372134038795,0.012486747190899816,-0.06716046853128776
2026-06-01,000027,趋势观察池,41,8.02,7.79,-0.02867830423940143,0.012486747190899816,-0.04116505143030125
2026-06-01,000028,回踩观察,20,23.62,22.7,-0.03895004233700261,0.012486747190899816,-0.05143678952790243
2026-06-01,000029,跌破MA5观察,7,23.9,23.41,-0.020502092050209142,0.012486747190899816,-0.03298883924110896
2026-06-01,000030,回踩观察,17,4.68,4.51,-0.03632478632478631,0.012486747190899816,-0.04881153351568612
2026-06-01,000031,趋势观察池,36,2.87,2.56,-0.10801393728222997,0.012486747190899816,-0.12050068447312978
2026-06-01,000032,跌破MA5观察,7,16.46,16.36,-0.0060753341433780195,0.012486747190899816,-0.018562081334277836
2026-06-01,000034,回踩观察,12,26.59,24.9,-0.06355772846934937,0.012486747190899816,-0.07604447566024919
2026-06-01,000035,跌破MA5观察,13,5.9,5.69,-0.035593220338983045,0.012486747190899816,-0.04807996752988286
2026-06-01,000036,跌破MA5观察,10,5.19,5.11,-0.015414258188824692,0.012486747190899816,-0.02790100537972451
2026-06-01,000037,趋势观察池,50,12.65,11.46,-0.0940711462450593,0.012486747190899816,-0.10655789343595912
2026-06-01,000039,趋势观察池,30,10.81,10.09,-0.06660499537465314,0.012486747190899816,-0.07909174256555296
2026-06-01,000042,回踩观察,15,9.94,9.99,0.005030181086519203,0.012486747190899816,-0.007456566104380613
2026-06-01,000045,跌破MA5观察,10,11.33,11.25,-0.007060900264783787,0.012486747190899816,-0.019547647455683603
2026-06-01,000048,回踩观察,29,13.79,14.57,0.056562726613488046,0.012486747190899816,0.04407597942258823
2026-06-01,000049,跌破MA5观察,10,25.52,24.61,-0.03565830721003138,0.012486747190899816,-0.0481450544009312
2026-06-01,000050,跌破MA5观察,18,7.8,8.24,0.05641025641025643,0.012486747190899816,0.043923509219356616
2026-06-01,000055,趋势观察池,39,3.81,3.72,-0.023622047244094446,0.012486747190899816,-0.03610879443499426
2026-06-01,000058,回踩观察,12,7.32,7.0,-0.04371584699453557,0.012486747190899816,-0.056202594185435384
2026-06-01,000059,回踩观察,18,4.56,4.6,0.00877192982456143,0.012486747190899816,-0.0037148173663383854
2026-06-01,000060,跌破MA5观察,26,7.68,7.8,0.015625,0.012486747190899816,0.0031382528091001838
2026-06-01,000061,趋势观察池,30,6.6,6.22,-0.05757575757575761,0.012486747190899816,-0.07006250476665743
2026-06-01,000062,跌破MA5观察,7,30.47,32.77,0.07548408270429952,0.012486747190899816,0.0629973355133997
2026-06-01,000063,跌破MA5观察,10,35.1,37.74,0.07521367521367517,0.012486747190899816,0.06272692802277535
2026-06-01,000065,跌破MA5观察,10,12.07,12.49,0.0347970173985086,0.012486747190899816,0.022310270207608784
2026-06-01,000066,跌破MA5观察,7,18.48,17.95,-0.02867965367965375,0.012486747190899816,-0.041166400870553566
2026-06-01,000068,趋势观察池,30,3.16,3.24,0.025316455696202445,0.012486747190899816,0.012829708505302628
2026-06-01,000069,趋势观察池,32,2.02,1.91,-0.054455445544554504,0.012486747190899816,-0.06694219273545432
2026-06-01,000070,跌破MA5观察,7,17.01,18.53,0.08935920047031165,0.012486747190899816,0.07687245327941183
2026-06-01,000088,回踩观察,27,4.5,4.4,-0.022222222222222143,0.012486747190899816,-0.03470896941312196
2026-06-01,000089,趋势观察池,43,6.86,6.53,-0.04810495626822153,0.012486747190899816,-0.06059170345912135
2026-06-01,000090,趋势观察池,43,3.87,3.52,-0.09043927648578809,0.012486747190899816,-0.1029260236766879
2026-06-01,000096,回踩观察,17,8.5,8.05,-0.05294117647058816,0.012486747190899816,-0.06542792366148797
2026-06-01,000099,跌破MA5观察,10,15.68,15.0,-0.04336734693877553,0.012486747190899816,-0.05585409412967535
2026-06-01,000100,跌破MA5观察,21,4.32,4.83,0.11805555555555558,0.012486747190899816,0.10556880836465576
2026-06-01,000151,趋势观察池,43,13.74,14.23,0.03566229985443958,0.012486747190899816,0.023175552663539767
2026-06-01,000153,回踩观察,15,5.73,5.39,-0.059336823734729593,0.012486747190899816,-0.07182357092562941
2026-06-01,000155,趋势观察池,30,14.6,13.6,-0.06849315068493156,0.012486747190899816,-0.08097989787583137
